0303-890-99	CONTINUATION OF THESIS	MOZRALL,J	Open	10	3	TBA	TBA	TBA	TBA
0303-999-01	GRADUATE CO-OP MML	SMITH,M	Open	20	0	TBA	TBA	TBA	TBA
0304-051-01	FYE/FRESHMAN SEMINAR I	ROBINSON,B	Open	5	2	TBA	TBA	TBA	TBA
0304-052-02	FYE/FRESHMAN SEMINAR II	ROBINSON,B	Open	30	29	T	1000AM	1050AM	09	1149
0304-052-03	FYE/FRESHMAN SEMINAR II	PELPHREY,B	Open	30	25	W	300P	350P	09	2149	ROBINSON,B
0304-220-01	FUND MICROMACHINING I	RAISANEN,A	Open	20	7	T	1000AM	1150AM	17	2700
0304-280-01	MEASR INSTR CONTROLS I	KEMPSKI,M	Open	36	29	TR	800A	950A	17	1535	TR	800A	950A	09	2230
0304-332-01	MECHANICS II	LAM-ANDERSON,M	Open	49	31	MWF	900A	950A	09	2139
0304-342-02	PROB SOLVING WITH COMP	SCIREMAMMANO JR,F	*Open	41	34	M	300P	350P	70	3445	TWR	300P	350P	09	2260
0304-343-02	MATERIALS PROCESSING	HORTOP,A	Open	44	42	TR	100P	150P	70	2590
0304-344-01	MATERIALS SCIENCE	VARELA,B	Open	48	46	MWF	900A	950A	76	1125
0304-344-42	MATL&#39;S SCIENCE-LAB	LANDSCHOOT,T	Open	12	10	R	1000AM	1150AM	09	2140
0304-347-01	MECHANICS OF MATERIALS	KOLODZIEJ,J	Open	36	29	MTRF	800A	850A	09	2149	R	600P	750P	TBA
0304-347-02	MECHANICS OF MATERIALS	VENKATARAMAN,P	*Open	36	33	MTRF	1000AM	1050AM	09	2149	R	600P	750P	TBA
0304-347-04	MECHANICS OF MATERIALS	VENKATARAMAN,P	*Open	36	32	MTRF	200P	250P	09	2149	R	600P	750P	TBA
0304-348-40	MECH. OF MATERIALS LAB	GUPTA,S	Open	12	10	T	800A	950A	09	2259
0304-348-41	MECH. OF MATERIALS LAB	GUPTA,S	Open	12	11	W	800A	950A	09	2259
0304-348-42	MECH. OF MATERIALS LAB	GUPTA,S	Open	12	0	R	800A	950A	TBA
0304-348-43	MECH. OF MATERIALS LAB	GUPTA,S	Open	12	11	M	1000AM	1150AM	09	2259
0304-348-44	MECH. OF MATERIALS LAB	GUPTA,S	Open	12	9	T	1000AM	1150AM	09	2259
0304-348-46	MECH. OF MATERIALS LAB	GUPTA,S	Open	12	5	R	1000AM	1150AM	09	2259
0304-348-48	MECH. OF MATERIALS LAB	GUPTA,S	Open	12	10	M	1200N	150P	09	2259
0304-348-50	MECH. OF MATERIALS LAB	GUPTA,S	*Open	12	11	W	1200N	150P	09	2259
0304-348-51	MECH. OF MATERIALS LAB	GUPTA,S	Open	12	10	R	1200N	150P	09	2259
0304-350-01	INTER MACHINING LAB	KOSCIOL,S	Open	6	4	R	1000AM	1150AM	09	2360
0304-350-02	INTER MACHINING LAB	KOSCIOL,S	Open	6	4	R	1200N	150P	09	2360
0304-413-01	THERMODYNAMICS	BAILEY,M	Open	36	31	MTRF	900A	950A	09	1149	R	600P	750P
0304-413-02	THERMODYNAMICS	LANDSCHOOT,T	Open	36	35	MTRF	1100AM	1150AM	09	2149	R	600P	750P
0304-413-03	THERMODYNAMICS	GEE,D	Open	36	33	MTWR	100P	150P	09	2149	R	600P	750P
0304-416-01	THERMAL FLUIDS LAB I	HANZLIK,E	Open	12	11	M	1000AM	1150AM	09	2271	M	1000AM	1150AM	09	2363
0304-416-04	THERMAL FLUIDS LAB I	HANZLIK,E	Open	12	7	R	1000AM	1150AM	09	2030	R	1000AM	1150AM	09	2363
0304-437-01	DES OF MACHINE ELEMENTS	BOEDO,S	Open	36	26	MTRF	1100AM	1150AM	09	3139
0304-437-02	DES OF MACHINE ELEMENTS	BOEDO,S	*Open	36	33	MTRF	300P	350P	09	3149
0304-440-01	NUMERICAL METHODS	AGBEZUGE,L	Open	36	26	MR	200P	250P	09	2260	T	200P	250P	09	1129	W	200P	250P	09	2149
0304-440-02	NUMERICAL METHODS	AGBEZUGE,L	Open	36	34	MR	1200N	1250PM	17	1535	T	1200N	1250PM	09	2139	W	1200N	1250PM	09	2149
0304-460-01	CONTMP ISSUES ENGR/ENVR	STEVENS,R	Open	24	14	MTWR	900A	950A	09	2271
0304-461-01	CONTMP ISSUES BIOENGR	DAY,S	Open	36	5	MTRF	1200N	1250PM	09	1149
0304-499-01	CO-OP	SELLECK,D	Open	999	74	TBA	TBA	TBA	TBA	HENSEL JR.,E
0304-514-01	HEAT TRANSFER	OGUT,A	Open	48	45	TR	1000AM	1150AM	09	2139
